gapSppCode,gapSciName,gapComName,iucnTaxonID,iucnSciName,iucnComName,iucnOriginUS,iucnCategory,iucnPopulationTrend,iucnAssessmentDate,iucnVersion
aABSAx,Eurycea waterlooensis,Austin Blind Salamander,59278,Eurycea waterlooensis,Austin Blind Salamander,Native,VU,unknown,4/30/2004,2019-1
aADSAx,Desmognathus apalachicolae,Apalachicola Dusky Salamander,59244,Desmognathus apalachicolae,Apalachicola Dusky Salamander,Native,LC,stable,4/30/2004,2019-1
aAGTOx,Anaxyrus nelsoni,Amargosa Toad,3181,Anaxyrus nelsoni,,Native,EN,decreasing,4/30/2004,2019-1
aAMBUx,Lithobates catesbeianus,American Bullfrog,58565,Lithobates catesbeianus,American Bullfrog,Native,LC,increasing,8/25/2015,2019-1
aAMDSx,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,59253,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Native,LC,unknown,8/25/2015,2019-1
aAMTOx,Anaxyrus americanus,American Toad,54570,Anaxyrus americanus,American Toad,Native,LC,stable,8/25/2015,2019-1
aARSAx,Aneides lugubris,Arboreal Salamander,59118,Aneides lugubris,Arboreal Salamander,Native,LC,stable,1/1/2008,2019-1
aARTOx,Anaxyrus californicus,Arroyo Toad,54599,Anaxyrus californicus,Arroyo Toad,Native,EN,decreasing,4/30/2004,2019-1
aAZTOx,Anaxyrus microscaphus,Arizona Toad,54709,Anaxyrus microscaphus,Arizona Toad,Native,LC,decreasing,4/30/2004,2019-1
aAZTRx,Hyla wrightorum,Arizona Treefrog,55696,Dryophytes wrightorum,Wright's Mountain Treefrog,Native,LC,stable,4/30/2004,2019-1
aBAFRx,Craugastor augusti,Barking Frog,56438,Craugastor augusti,Barking Frog,Native,LC,stable,1/9/2009,2019-1
aBATRx,Hyla gratiosa,Barking Treefrog,55495,Dryophytes gratiosus,Barking Treefrog,Native,LC,stable,8/7/2014,2019-1
aBBSSx,Batrachoseps nigriventris,Black-bellied Slender Salamander,59130,Batrachoseps nigriventris,Blackbelly Slender Salamander,Native,LC,stable,4/30/2004,2019-1
aBCSAx,Gyrinophilus gulolineatus,Berry Cave Salamander,59280,Gyrinophilus gulolineatus,Berry Cave Salamander,Native,EN,decreasing,4/30/2004,2019-1
aBESAx,Desmognathus quadramaculatus,Black-bellied Salamander,59256,Desmognathus quadramaculatus,Blackbelly Salamander,Native,LC,stable,7/31/2014,2019-1
aBGCSx,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,59330,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,Native,VU,unknown,4/30/2004,2019-1
